stop_name,stop_id,route_id
Jamaica-179 St,F01N,F
Jamaica-179 St,F01S,E
Jamaica-Van Wyck,G07N,E
Jamaica-Van Wyck,G07S,E
Jay St-MetroTech,A41S,C
Jay St-MetroTech,A41N,C
Jay St-MetroTech,A41S,F
Jay St-MetroTech,A41N,A
Jay St-MetroTech,A41S,A
Jay St-MetroTech,A41N,F
Jay St-MetroTech,R29S,R
Jay St-MetroTech,R29N,R
Jefferson Av,S24N,SI
Jefferson Av,S24S,SI
Jefferson St,L15S,L
Jefferson St,L15N,L
Junction Blvd,707S,7X
Junction Blvd,707N,7X
Junction Blvd,707N,7
Junction Blvd,707S,7
Junius St,254S,3
Junius St,254N,3
Kew Gardens-Union Tpke,F06S,F
Kew Gardens-Union Tpke,F06S,E
Kew Gardens-Union Tpke,F06N,E
Kew Gardens-Union Tpke,F06N,F
Kings Hwy,N08N,N
Kings Hwy,D35S,Q
Kings Hwy,D35N,B
Kings Hwy,D35S,B
Kings Hwy,F35S,F
Kings Hwy,D35N,Q
Kings Hwy,N08S,N
Kings Hwy,F35N,F
Kingsbridge Rd,D04N,B
Kingsbridge Rd,D04S,D
Kingsbridge Rd,D04S,B
Kingsbridge Rd,406S,4
Kingsbridge Rd,406N,4
Kingsbridge Rd,D04N,D
Kingston Av,249S,3
Kingston Av,249N,3
Kingston-Throop Avs,A47S,C
Kingston-Throop Avs,A47N,C
Knickerbocker Av,M09S,M
Knickerbocker Av,M09N,M
Kosciuszko St,J31S,J
Kosciuszko St,J31N,J
Lafayette Av,A43N,C
Lafayette Av,A43N,A
Lafayette Av,A43S,C
Lexington Av/53 St,F11S,E
Lexington Av/53 St,F11S,M
Lexington Av/53 St,F11N,M
Lexington Av/53 St,F11N,E
Lexington Av/59 St,R11N,W
Lexington Av/59 St,R11N,R
Lexington Av/59 St,R11N,N
Lexington Av/59 St,R11S,W
Lexington Av/59 St,R11S,R
Lexington Av/59 St,R11S,N
Lexington Av/63 St,B08S,N
Lexington Av/63 St,B08N,F
Lexington Av/63 St,B08S,F
Lexington Av/63 St,B08N,N
Lexington Av/63 St,B08N,Q
Lexington Av/63 St,B08S,Q
Liberty Av,A52N,C
Liberty Av,A52S,C
Livonia Av,L26S,L
Livonia Av,L26N,L
Longwood Av,614N,6
Longwood Av,614S,6
Lorimer St,L10S,L
Lorimer St,L10N,L
Lorimer St,M13N,M
Lorimer St,M13S,M
Lorimer St,M13S,J
Marble Hill-225 St,106N,1
Marble Hill-225 St,106S,1
Marcy Av,M16N,M
Marcy Av,M16S,J
Marcy Av,M16N,J
Marcy Av,M16S,M
Metropolitan Av,G29N,G
Metropolitan Av,G29S,G
Mets-Willets Point,702S,7
Mets-Willets Point,702N,7
Mets-Willets Point,702N,7X
Mets-Willets Point,702S,7X
Middle Village-Metropolitan Av,M01N,M
Middle Village-Metropolitan Av,M01S,M
Middletown Rd,603S,6
Middletown Rd,603N,6X
Montrose Av,L13S,L
Montrose Av,L13N,L
Morgan Av,L14S,L
Morgan Av,L14N,L
Morris Park,505S,5
Morris Park,505N,5
Morrison Av-Soundview,610S,6
Morrison Av-Soundview,610N,6
Mosholu Pkwy,402N,4
Mosholu Pkwy,402S,4
Mt Eden Av,411N,4
Mt Eden Av,411S,4
Myrtle Av,M11S,J
Myrtle Av,M11N,J
Myrtle Av,M11N,M
Myrtle Av,M11S,M
Myrtle-Willoughby Avs,G32N,G
Myrtle-Willoughby Avs,G32S,G
Myrtle-Wyckoff Avs,L17S,L
Myrtle-Wyckoff Avs,M08N,M
Myrtle-Wyckoff Avs,L17N,L
Myrtle-Wyckoff Avs,M08S,M
Nassau Av,G28N,G
Nassau Av,G28S,G
Neck Rd,D38N,Q
Neck Rd,D38S,Q
Neptune Av,F39N,F
Neptune Av,F39S,F
Nereid Av,204S,2
Nereid Av,204N,2
Nevins St,234N,4
Nevins St,234N,5
Nevins St,234S,4
Nevins St,234S,2
Nevins St,234N,2
Nevins St,234S,5
Nevins St,234N,3
Nevins St,234S,3
New Dorp,S22S,SI
New Dorp,S22N,SI
New Lots Av,257S,3
New Lots Av,L27N,L
New Lots Av,L27S,L
New Lots Av,257N,3
New Utrecht Av,N04N,N
New Utrecht Av,N04S,N
Newkirk Av-Little Haiti,246N,5
Newkirk Av-Little Haiti,246S,2
Newkirk Av-Little Haiti,246N,2
Newkirk Av-Little Haiti,246S,5
Newkirk Plaza,D31N,B
Newkirk Plaza,D31S,Q
Newkirk Plaza,D31S,B
Newkirk Plaza,D31N,Q
None,H17N,A
None,R60S,W
None,H05S,A
None,A58N,A
None,H18N,A
None,A62S,A
None,A39N,A
None,R60S,R
None,D60N,B
None,A29N,A
None,H17S,A
None,R60N,W
None,R60S,N
None,H18S,A
None,X22N,M
None,R65N,R
None,A62N,A
None,R65S,R
None,R60N,N
None,H05N,A
None,R60N,R
Northern Blvd,G16S,M
Northern Blvd,G16N,R
Northern Blvd,G16S,R
Northern Blvd,G16N,M
Norwood Av,J21N,J
Norwood Av,J21S,J
Norwood-205 St,D01N,D
Norwood-205 St,D01S,D
Nostrand Av,A46N,A
Nostrand Av,A46S,A
Nostrand Av,248S,3
Nostrand Av,A46S,C
Nostrand Av,248N,3
Nostrand Av,A46N,C
Oakwood Heights,S21S,SI
Oakwood Heights,S21N,SI
Ocean Pkwy,D41N,Q
Ocean Pkwy,D41S,Q
Old Town,S26S,SI
Old Town,S26N,SI
Ozone Park-Lefferts Blvd,A65N,A
Ozone Park-Lefferts Blvd,A65S,A
Park Pl,S03N,FS
Park Pl,S03S,FS
Park Place,228N,2
Park Place,228S,3
Park Place,228S,2
Park Place,228N,3
Parkchester,608N,6X
Parkchester,608S,6
Parkchester,608N,6
Parkside Av,D27S,Q
Parkside Av,D27N,Q
Parsons Blvd,F03S,E
Parsons Blvd,F03N,F
Parsons Blvd,F03S,F
Pelham Bay Park,601S,6
Pelham Bay Park,601N,6X
Pelham Pkwy,504S,5
Pelham Pkwy,504N,5
Pelham Pkwy,211N,2
Pelham Pkwy,211S,2
Pennsylvania Av,255S,3
Pennsylvania Av,255N,3
Pleasant Plains,S14S,SS
Pleasant Plains,S14N,SI
Pleasant Plains,S14S,SI
President St-Medgar Evers College,241N,5
President St-Medgar Evers College,241S,5
President St-Medgar Evers College,241N,2
President St-Medgar Evers College,241S,2
Prince St,R22N,R
Prince St,R22N,W
Prince St,R22S,R
Prince St,R22S,W
Prince's Bay,S15S,SS
Prince's Bay,S15S,SI
Prince's Bay,S15N,SI
Prospect Av,219N,5
Prospect Av,219N,2
Prospect Av,R34N,R
Prospect Av,R34S,R
Prospect Av,219S,5
Prospect Av,219S,2
Prospect Park,D26N,FS
Prospect Park,D26S,B
Prospect Park,D26N,Q
Prospect Park,D26S,Q
Prospect Park,D26N,B
Prospect Park,D26S,FS
Queens Plaza,G21N,M
Queens Plaza,G21S,E
Queens Plaza,G21N,R
Queens Plaza,G21N,E
Queens Plaza,G21S,M
Queens Plaza,G21S,R
Queensboro Plaza,R09S,W
Queensboro Plaza,R09N,W
Queensboro Plaza,R09S,N
Queensboro Plaza,718S,7X
Queensboro Plaza,718N,7X
Queensboro Plaza,718S,7
Queensboro Plaza,718N,7
Queensboro Plaza,R09N,N
Ralph Av,A49S,C
Ralph Av,A49N,C
Rector St,R26S,R
Rector St,139N,1
Rector St,R26N,W
Rector St,139S,1
Rector St,R26S,W
Rector St,R26N,R
Richmond Valley,S13S,SS
Richmond Valley,S13N,SI
Richmond Valley,S13S,SI
Rockaway Av,A50N,C
Rockaway Av,A50S,C
Rockaway Av,253S,3
Rockaway Av,253N,3
Rockaway Blvd,A61S,A
Rockaway Blvd,A61N,A
Rockaway Park-Beach 116 St,H15S,A
Rockaway Park-Beach 116 St,H15N,H
Rockaway Park-Beach 116 St,H15S,H
Roosevelt Island,B06N,F
Roosevelt Island,B06S,F
Saratoga Av,252N,3
Saratoga Av,252S,3
Seneca Av,M06S,M
Seneca Av,M06N,M
Sheepshead Bay,D39S,B
Sheepshead Bay,D39N,Q
Sheepshead Bay,D39S,Q
Sheepshead Bay,D39N,B
Shepherd Av,A54S,C
Shepherd Av,A54N,C
Simpson St,217N,2
Simpson St,217N,5
Simpson St,217S,2
Simpson St,217S,5
Smith-9 Sts,F22S,G
Smith-9 Sts,F22N,F
Smith-9 Sts,F22S,F
Smith-9 Sts,F22N,G
South Ferry,142S,1
South Ferry,142N,1
Spring St,638N,6
Spring St,638S,6
Spring St,A33S,C
Spring St,A33N,A
Spring St,A33S,E
Spring St,A33N,E
Spring St,638N,6X
Spring St,A33N,C
St George,S31S,SI
St George,S31N,SI
St George,S31S,SS
St Lawrence Av,609S,6
St Lawrence Av,609N,6
Stapleton,S29S,SI
Stapleton,S29N,SI
Steinway St,G19N,R
Steinway St,G19N,M
Steinway St,G19S,R
Steinway St,G19S,M
Sterling St,242N,2
Sterling St,242S,5
Sterling St,242S,2
Sterling St,242N,5
Sutphin Blvd,F04S,F
Sutphin Blvd,F04N,F
Sutphin Blvd-Archer Av-JFK Airport,G06N,E
Sutphin Blvd-Archer Av-JFK Airport,G06S,E
Sutphin Blvd-Archer Av-JFK Airport,G06N,J
Sutphin Blvd-Archer Av-JFK Airport,G06S,J
Sutter Av,L25S,L
Sutter Av,L25N,L
Sutter Av-Rutland Rd,251N,3
Sutter Av-Rutland Rd,251S,3
Times Sq-42 St,725N,7X
Times Sq-42 St,R16S,R
Times Sq-42 St,127N,2
Times Sq-42 St,902S,GS
Times Sq-42 St,725S,7X
Times Sq-42 St,R16S,N
Times Sq-42 St,127N,1
Times Sq-42 St,R16S,Q
Times Sq-42 St,725S,7
Times Sq-42 St,127S,2
Times Sq-42 St,127S,1
Times Sq-42 St,902N,GS
Times Sq-42 St,R16N,Q
Times Sq-42 St,725N,7
Times Sq-42 St,127S,3
Times Sq-42 St,R16N,W
Times Sq-42 St,R16S,W
Times Sq-42 St,127N,3
Times Sq-42 St,R16N,R
Times Sq-42 St,R16N,N
Tompkinsville,S30N,SI
Tompkinsville,S30S,SI
Tottenville,S09S,SI
Tottenville,S09N,SI
Tottenville,S09S,SS
Tremont Av,D07N,D
Tremont Av,D07S,B
Tremont Av,D07N,B
Tremont Av,D07S,D
Union St,R32S,R
Union St,R32N,R
Utica Av,A48S,A
Utica Av,A48N,A
Utica Av,A48S,C
Utica Av,A48N,C
Van Cortlandt Park-242 St,101S,1
Van Cortlandt Park-242 St,101N,1
Van Siclen Av,J23N,J
Van Siclen Av,J23S,J
Van Siclen Av,256N,3
Van Siclen Av,A53N,C
Van Siclen Av,256S,3
Van Siclen Av,A53S,C
Vernon Blvd-Jackson Av,721S,7
Vernon Blvd-Jackson Av,721N,7X
Vernon Blvd-Jackson Av,721S,7X
Vernon Blvd-Jackson Av,721N,7
W 4 St-Wash Sq,A32N,A
W 4 St-Wash Sq,D20S,M
W 4 St-Wash Sq,D20N,B
W 4 St-Wash Sq,D20S,B
W 4 St-Wash Sq,A32N,C
W 4 St-Wash Sq,A32S,A
W 4 St-Wash Sq,D20N,F
W 4 St-Wash Sq,A32S,E
W 4 St-Wash Sq,D20S,F
W 4 St-Wash Sq,D20N,M
W 4 St-Wash Sq,D20N,D
W 4 St-Wash Sq,D20S,D
W 4 St-Wash Sq,A32S,C
W 4 St-Wash Sq,A32N,E
W 8 St-NY Aquarium,D42S,F
W 8 St-NY Aquarium,D42S,Q
W 8 St-NY Aquarium,D42N,Q
W 8 St-NY Aquarium,D42N,F
WTC Cortlandt,138S,1
WTC Cortlandt,138N,1
Wakefield-241 St,201N,2
Wakefield-241 St,201S,2
Wall St,230S,3
Wall St,419S,5
Wall St,230N,2
Wall St,419S,4
Wall St,230N,3
Wall St,419N,5
Wall St,419N,4
Wall St,230S,2
West Farms Sq-E Tremont Av,214N,2
West Farms Sq-E Tremont Av,214S,5
West Farms Sq-E Tremont Av,214S,2
West Farms Sq-E Tremont Av,214N,5
Westchester Sq-E Tremont Av,604S,6
Westchester Sq-E Tremont Av,604N,6X
Whitehall St-South Ferry,R27N,R
Whitehall St-South Ferry,R27S,R
Whitehall St-South Ferry,R27N,W
Whitehall St-South Ferry,R27S,W
Whitlock Av,612S,6
Whitlock Av,612N,6
Wilson Av,L20S,L
Wilson Av,L20N,L
Winthrop St,243S,5
Winthrop St,243N,5
Winthrop St,243N,2
Winthrop St,243S,2
Woodhaven Blvd,G11N,M
Woodhaven Blvd,G11S,R
Woodhaven Blvd,J15N,J
Woodhaven Blvd,G11N,R
Woodhaven Blvd,J15S,J
Woodhaven Blvd,G11S,M
Woodlawn,401S,4
Woodlawn,401N,4
World Trade Center,E01S,E
World Trade Center,E01N,E
York St,F18N,F
York St,F18S,F
Zerega Av,606N,6X
Zerega Av,606S,6
